Country Name,Country Code,Time,Time Code,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]",Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS],Food production index (2014-2016 = 100) [AG.PRD.FOOD.XD],"Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","School enrollment, primary (% net) [SE.PRM.NENR]","School enrollment, secondary (% net) [SE.SEC.NENR]","Labor force participation rate, female (% of female population ages 15+) (national estimate) [SL.TLF.CACT.FE.NE.ZS]",Proportion of seats held by women in national parliaments (%) [SG.GEN.PARL.ZS],People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],Access to electricity (% of population) [EG.ELC.ACCS.ZS],Unemployment with basic education (% of total labor force with basic education) [SL.UEM.BASC.ZS],Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Population living in slums (% of urban population) [EN.POP.SLUM.UR.ZS],Population density (people per sq. km of land area) [EN.POP.DNST],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Forest area (% of land area) [AG.LND.FRST.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS]
Chad,TCD,2000,YR2000,47.443,760,..,44.11,2.2,7.249,51.30694,7.24649,..,2.4,39.52587081,3.17988133430481,..,21.637,91.58375,6.55903510165184,0.035439538053431,5.0452668360864,1.36204531679744
Chad,TCD,2001,YR2001,47.85,840,38.8,50.22,2.2,7.231,52.50412,8.40238,..,2.4,39.8520354,3.5271143913269,..,21.67,..,6.78113405336722,0.0402632499820818,4.97990787801779,1.35402139139911
Chad,TCD,2002,YR2002,47.946,880,37.6,49.02,2.1,7.201,55.89137,9.58813,..,..,40.17618371,3.86676287651062,..,21.702,90.45647,7.01903510165184,0.0454269334081888,4.91454891994917,1.52447440322679
Chad,TCD,2003,YR2003,48.206,860,38,53.93,2,7.179,57.40992,10.5173,..,5.80645161290323,40.4992037,4.20117616653442,..,21.735,..,7.30334021601016,0.0488888763235391,4.84918996188056,1.32252242472105
Chad,TCD,2004,YR2004,48.232,1140,37.1,50.68,1.9,7.16,..,..,..,6.45161290322581,40.82063289,3.5,..,21.768,89.32919,7.63461165819568,0.046393078568759,4.78383100381194,1.01162496678722
Chad,TCD,2005,YR2005,48.312,1320,37.8,59.12,1.9,7.134,..,..,..,6.45161290322581,41.14046577,4.86369371414185,..,21.801,..,7.94553049555273,0.0474961949071126,4.71847204574333,0.831977970064711
Chad,TCD,2006,YR2006,48.286,1310,38.4,60.74,1.8,7.118,..,..,..,6.45161290322581,41.45868775,5.19655656814575,..,21.834,88.20191,8.2319043837357,0.0491336065572189,4.65311308767471,2.9956268787193
Chad,TCD,2007,YR2007,48.751,1380,39.2,63.68,1.7,7.092,..,..,..,5.16129032258065,41.7757177,5.53394079208374,..,21.868,..,8.51551064167726,0.0466392377091247,4.5877541296061,4.48594882565328
Chad,TCD,2008,YR2008,49.024,1360,40.1,66.51,1.7,7.063,..,..,..,5.16129032258065,42.09069088,5.87855625152588,..,21.901,87.07463,8.81405972045743,0.0490149084610544,4.52239517153748,5.88515263113279
Chad,TCD,2009,YR2009,49.196,1580,35.7,66.73,1.6,7.021,..,..,..,5.16129032258065,42.40402243,6.23311138153076,..,21.934,..,9.12970775095299,0.0687796795581956,4.45703621346887,7.95566213038321
Chad,TCD,2010,YR2010,49.584,1770,31.4,90.07,1.6,6.99,..,..,..,5.16129032258065,42.72317538,6.40000009536743,..,21.985,85.94735,9.44625714739517,0.104281502215225,4.39167725540025,5.76493311502614
Chad,TCD,2011,YR2011,50.009,1760,26,75.21,1.6,6.948,61.66744,..,..,12.7659574468085,43.04789724,8.97999954223633,..,22.054,..,9.78218710292249,0.0889827102883405,4.29002541296061,5.01009653069354
Chad,TCD,2012,YR2012,50.54,1690,25.4,99.57,1.5,6.905,..,..,..,14.8936170212766,43.37833546,7.8354058265686,..,22.142,84.82007,10.1293726175349,0.145593389712163,4.18837357052097,..
Chad,TCD,2013,YR2013,50.781,1500,25.6,94.52,1.5,6.839,78.09266,..,..,14.8936170212766,43.71380254,8.12655830383301,..,22.248,..,10.4961610546379,0.165415654631398,4.08672172808132,5.59231324408224
Chad,TCD,2014,YR2014,51.202,1600,27,97.54,1.4,6.781,..,..,..,14.8936170212766,44.05402607,8.40568542480469,..,22.372,83.69279,10.8776413595934,0.165020019528184,3.98506988564168,2.80651395535442
Chad,TCD,2015,YR2015,51.589,1760,28,97.01,1.4,6.706,79.09656,18.44135,..,14.8936170212766,44.39909697,7.69999980926514,..,22.515,..,11.2295695679797,0.168716674089908,3.88341804320203,2.0188218544744
Chad,TCD,2016,YR2016,52.083,1630,28.5,105.45,1.3,6.623,73.15289,18.8551,..,14.8936170212766,44.74869976,9.26384735107422,..,22.677,82.56551,11.5887746188056,0.151259697990452,3.78732528589581,3.06847511920839
China,CHN,2000,YR2000,71.881,2880,..,64.2,..,1.628,..,..,70.57,21.7828418230563,80.47577364,97.0217971801758,..,35.877,..,133.971903614969,2.65040925992658,18.8534727562839,1.8303437176953
China,CHN,2001,YR2001,72.606,3160,10,65.29,..,1.563,..,..,..,21.7828418230563,80.81648861,97.2727890014648,..,37.093,..,134.948589664422,2.77476196092306,19.1049681205612,1.97618599097992
China,CHN,2002,YR2002,72.985,3500,9.4,67.97,..,1.566,..,..,..,21.7828418230563,81.7952859,97.5162048339844,..,38.425,..,135.855780324981,2.9756771321462,19.3564538990231,2.04968606201025
China,CHN,2003,YR2003,73.371,3910,8.6,68.94,..,1.57,..,..,..,20.2345058626466,82.74878351,97.7543792724609,..,39.776,..,136.70462094405,3.4274394597951,19.6079386867747,1.98340627424446
China,CHN,2004,YR2004,73.748,4420,7.9,72.55,..,1.605,..,..,..,20.2345058626466,83.67586753,97.9896697998047,..,41.144,..,137.51895882527,3.95410527940127,19.8594228667065,1.92776497620508
China,CHN,2005,YR2005,74.111,5020,7,75.41,..,1.624,..,..,..,20.2684563758389,84.57435729,98.2244262695313,..,42.522,..,138.330135459593,4.46769628447826,20.1109081284255,1.85334243982047
China,CHN,2006,YR2006,74.504,5830,6.1,76.93,..,1.644,..,..,..,20.2684563758389,85.43458456,98.461051940918,..,43.868,..,139.104692987575,4.91027596833,20.3623927769671,1.85464883982163
China,CHN,2007,YR2007,74.762,6830,5,78.69,..,1.666,..,..,..,20.620992237597,86.26131924,98.7022018432617,..,45.199,..,139.83309813575,5.30636815807146,20.6138778860824,1.73981285883451
China,CHN,2008,YR2008,74.872,7630,4,83.35,..,1.701,..,..,..,21.325744894543,87.06001859,98.9505767822266,..,46.539,..,140.551423387482,5.43507932254059,20.8653616938384,1.71233436060411
China,CHN,2009,YR2009,75.343,8290,2.8,85.72,..,1.714,..,..,..,21.325744894543,87.82894559,99.2089004516602,..,47.88,..,141.252233956931,5.79831963703559,21.1168450517356,1.88613315154918
China,CHN,2010,YR2010,75.599,9220,2.5,88.29,..,1.687,..,..,63.73,21.325744894543,88.56889093,99.6999969482422,..,49.226,..,141.936072304132,6.33541999170221,21.3683288541342,1.73947515006373
China,CHN,2011,YR2011,75.903,10200,2.5,91.33,..,1.668,..,..,..,21.3230355943586,89.26848693,99.8487243652344,..,50.511,..,142.713812806516,6.9013475485768,21.574627370433,1.66557605252678
China,CHN,2012,YR2012,76.192,11140,2.5,94,..,1.798,..,..,..,21.3230355943586,89.93455887,99.9619293212891,..,51.765,..,143.685196418276,7.04618037350741,21.7809258867318,1.69336816326385
China,CHN,2013,YR2013,76.452,11780,2.5,95.89,..,1.714,..,..,..,23.40140609307,90.57190917,99.9964447021484,..,53.013,..,144.645432953933,7.32414835245445,21.9872244030306,1.70285509558016
China,CHN,2014,YR2014,76.717,12500,2.5,97.6,..,1.769,..,..,..,23.40140609307,91.1813536,100,..,54.259,..,145.5600507997,7.29423556339568,22.1935229193294,1.72868906768382
China,CHN,2015,YR2015,76.977,12840,2.5,101.36,..,1.67,..,..,..,23.6228455559311,91.76264123,100,..,55.5,..,146.408882513774,7.14644963981853,22.3998214356282,1.75071776735043
China,CHN,2016,YR2016,77.218,13420,2.5,101.04,..,1.772,..,..,..,23.6228455559311,92.31599823,100,..,56.736,..,147.25030254277,7.11538201024651,22.6304979330458,1.77069571932743
Colombia,COL,2000,YR2000,71.32,6610,..,71.72,0.4,2.572,93.89445,..,57.1,11.8012422360248,91.46819342,95.1999969482422,..,73.957,21.17683,35.3448715637675,1.48773426382441,56.5439387111311,3.03168353865852
Colombia,COL,2001,YR2001,71.502,6740,8.7,72.24,0.4,2.516,92.02846,..,53.55,11.8012422360248,91.83335003,98.4700012207031,..,74.379,..,35.9061514195584,1.47955431859757,56.3701928796755,3.32387281880532
Colombia,COL,2002,YR2002,71.939,6900,9.1,73.96,0.4,2.458,92.85234,..,52.52,12.0481927710843,92.19255678,94.9055023193359,14.71,74.797,19.83238,36.4615141955836,1.40324639930983,56.1964470482199,3.41712762358197
Colombia,COL,2003,YR2003,72.361,7150,9.8,76.47,0.4,2.395,..,..,53.88,12.0481927710843,92.54587309,95.1293487548828,12.91,75.211,..,37.0055763857593,1.36658696823326,56.0227012167643,3.46398869081496
Colombia,COL,2004,YR2004,72.695,7610,10.6,78.67,0.4,2.33,92.72557,..,53.1,12.0481927710843,92.89315098,95.3503112792969,12.34,75.62,18.48794,37.537871113114,1.34728531808334,55.8489553853087,3.46501517406307
Colombia,COL,2005,YR2005,73.081,8200,11.2,80.04,0.4,2.263,94.1217,63.648,51.29,12.1212121212121,93.23447413,96.8000030517578,10.31,76.024,..,38.0540243352862,1.36512593040325,55.6752095538531,3.35287338750456
Colombia,COL,2006,YR2006,73.468,8890,11.4,83.46,0.4,2.198,92.67949,67.7345,..,8.43373493975904,93.56993286,95.7930297851563,..,76.423,17.14349,38.5515187021181,1.34872048686891,55.5014637223975,3.27613063886762
Colombia,COL,2007,YR2007,73.837,9590,11,85.97,0.4,2.137,91.89814,70.40955,50.13,8.43373493975904,93.89940692,96.0198440551758,8.48,76.816,..,39.0325209553853,1.36645972198868,55.3277178909419,3.26673966297973
Colombia,COL,2008,YR2008,74.295,9940,11.3,89.44,0.4,2.081,92.72779,71.39134,50.52,8.43373493975904,94.22320913,96.8067626953125,8.62,77.204,15.79905,39.4910437133844,1.3644133958372,55.1539720594863,3.74460643668501
Colombia,COL,2009,YR2009,74.742,10050,12.1,85.32,0.4,2.033,92.9001,74.13559,54.05,8.43373493975904,94.54142975,96.0572280883789,9.66,77.587,..,39.9404389364579,1.39930306770218,54.9802262280306,3.88535386793267
Colombia,COL,2010,YR2010,75.033,10450,12.9,82.78,0.4,1.992,91.85368,75.30739,54.58,12.6506024096386,94.85395872,96.7889938354492,9.11,77.964,14.4546,40.3930671473637,1.41833601436341,54.806480396575,3.64275560218359
Colombia,COL,2011,YR2011,75.32,11200,12.3,85.22,0.4,1.958,91.81058,77.26227,55.11,12.1212121212121,95.1609052,96.693603515625,8.1,78.335,..,40.8372230734565,1.52502271132212,54.6851410545291,3.08161364181939
Colombia,COL,2012,YR2012,75.597,11630,10.7,92.78,0.4,1.93,90.2152,75.66677,56.17,12.1212121212121,95.4625686,97.0321731567383,8.03,78.701,13.11016,41.2640081117621,1.52231368649672,54.5638017124831,3.15896023510956
Colombia,COL,2013,YR2013,75.827,12360,8.9,96.08,0.4,1.905,90.20282,76.31163,55.46,12.1212121212121,95.75884758,97.7794189453125,7.15,79.061,..,41.6745651194232,1.66234085306154,54.4424623704371,3.27440100420587
Colombia,COL,2014,YR2014,76.043,13010,7.5,96.87,0.5,1.883,90.46317,75.58286,55.15,19.8795180722892,96.04986302,97.7909393310547,6.9,79.415,11.76571,42.0711554754394,1.69676485557516,54.3211230283912,3.10825884811045
Colombia,COL,2015,YR2015,76.257,13200,6.5,100.47,0.5,1.863,91.9363,75.60237,55.41,19.8795180722892,96.33586812,98.186897277832,6.62,79.764,..,42.4693357368184,1.70263504067765,54.1997836863452,3.10996008410672
Colombia,COL,2016,YR2016,76.471,13820,6,102.65,0.5,1.843,92.99662,76.20192,54.87,19.8795180722892,96.61696481,98.4000015258789,6.53,80.108,10.42127,42.9256016223524,1.73612266672658,54.0419017575485,3.07113102611539
Comoros,COM,2000,YR2000,58.757,1820,..,84.71,0.1,5.297,67.49473,..,..,..,90.94792798,39.7153549194336,..,28.08,64.49449,288.4245029554,0.195059971160188,22.3965609887157,..
Comoros,COM,2001,YR2001,59.163,1870,..,86.93,0.1,5.254,..,..,..,..,90.84135964,42.0186653137207,..,28.036,..,294.326168726491,0.199912002205422,22.1612036539495,..
Comoros,COM,2002,YR2002,59.056,1890,..,86.7,0.1,5.206,..,..,..,..,90.00563794,44.7999992370605,..,27.992,65.08643,300.401397098334,0.195869041422278,21.9258463191832,..
Comoros,COM,2003,YR2003,59.258,1930,..,87.14,0.1,5.149,..,..,..,..,89.17159959,46.6048812866211,..,27.947,..,306.356797420742,0.244330240471471,21.690488984417,..
Comoros,COM,2004,YR2004,59.48,1980,..,88.56,0.1,5.095,..,..,32.53,3.03030303030303,88.33926508,48.8924865722656,5.23,27.903,65.67836,312.280494357872,0.262925145486394,21.4551316496507,..
Comoros,COM,2005,YR2005,59.604,2060,..,88.31,0.1,5.03,..,..,..,3.03030303030303,87.50908026,51.1795539855957,..,27.875,..,318.475550779151,0.247855936478691,21.2197743148845,..
Comoros,COM,2006,YR2006,59.875,2140,..,92.99,0.1,4.955,..,..,..,3.03030303030303,86.68150933,53.4684944152832,..,27.863,66.27029,324.910263299301,0.284623704639648,20.9844169801182,..
Comoros,COM,2007,YR2007,60.102,2180,..,94.68,0.1,4.882,79.17413,..,..,3.03030303030303,85.85699582,55.7619552612305,..,27.867,..,331.487909725954,0.181066916950749,20.749059645352,..
Comoros,COM,2008,YR2008,60.475,2260,..,96.58,0.1,4.826,..,..,..,3.03030303030303,85.03591925,58.0626487731934,..,27.886,66.86223,338.242880171951,0.181104738907335,20.5137023105857,..
Comoros,COM,2009,YR2009,60.831,2300,..,97.41,0.1,4.791,..,..,..,0,84.21875272,60.3732833862305,..,27.921,..,345.240730789898,0.218368137862981,20.2783449758195,..
Comoros,COM,2010,YR2010,61.123,2370,..,97.51,0.1,4.759,..,..,..,3.03030303030303,83.40597974,69.8077087402344,..,27.973,67.45416,352.511552928533,0.255478458105191,20.0429876410532,..
Comoros,COM,2011,YR2011,61.503,2460,..,99.01,0.1,4.721,..,..,..,3.03030303030303,82.59787955,69.4258041381836,..,28.04,..,360.059645351961,0.223856874868484,19.8076303062869,..
Comoros,COM,2012,YR2012,61.834,2650,..,98.11,0.1,4.641,..,..,..,3.03030303030303,81.79491098,69.3000030517578,..,28.123,68.0461,367.841483073616,0.235336051408729,19.5722729715207,..
Comoros,COM,2013,YR2013,62.224,2800,..,101.6,0.1,4.568,84.62552,44.41592,..,3.03030303030303,80.99757035,69.7684478759766,..,28.223,..,375.815690488984,0.276954444782833,19.3369156367544,..
Comoros,COM,2014,YR2014,62.516,2900,..,97.16,0.1,4.492,80.85214,44.7685,33.04,3.03030303030303,80.20603645,72.1627960205078,9.3,28.338,68.63803,383.993551853842,0.242369285710288,19.1015583019882,..
Comoros,COM,2015,YR2015,62.896,2900,..,98.6,0.1,4.418,..,..,..,3.03030303030303,80.13200008,74.5719833374023,..,28.47,..,392.378291241268,0.25636250095862,18.8662009672219,..
Comoros,COM,2016,YR2016,63.237,3070,..,104.24,0.1,4.348,..,..,..,3.03030303030303,80.14885509,76.9930419921875,..,28.619,68.6,400.984416980118,0.293742428628094,18.6297689414293,..
"Congo, Dem. Rep.",COD,2000,YR2000,51.781,420,..,49.8,1.9,6.718,..,..,..,..,33.71492715,6.69999980926514,..,35.122,..,21.4447484616572,0.0336292442720414,63.4741183476324,0.220260772572306
"Congo, Dem. Rep.",COD,2001,YR2001,52.116,400,32.2,48.92,1.8,6.7,..,..,..,..,34.28904305,7.31436443328857,..,35.587,..,22.1021402262853,0.0312421561071217,63.1772567874551,..
"Congo, Dem. Rep.",COD,2002,YR2002,52.333,410,33.7,47.98,1.7,6.672,..,..,..,..,34.86508705,7.91584491729736,..,36.055,71.91424,22.7882362541629,0.0319402603894838,62.8803952272777,..
"Congo, Dem. Rep.",COD,2003,YR2003,52.827,430,34.5,48.27,1.6,6.64,..,..,..,..,35.44310563,8.51208972930908,..,36.526,..,23.4691069892592,0.0375636875632675,62.5835336671004,0.880645710714365
"Congo, Dem. Rep.",COD,2004,YR2004,53.426,460,34.7,48.5,1.6,6.618,..,..,..,12,36.02313413,9.10544872283936,..,37,71.91424,24.1792668886879,0.0353859075208271,62.2866721069231,1.33660438482268
"Congo, Dem. Rep.",COD,2005,YR2005,53.927,480,34.6,48.73,1.5,6.597,..,..,71.28,12,36.60722724,6,3.68,37.481,..,24.9444198407622,0.0390573006692614,61.9898105467458,1.38079545825312
"Congo, Dem. Rep.",COD,2006,YR2006,54.534,510,34.6,48.96,1.4,6.59,..,..,..,8.4,37.19644995,10.2929649353027,..,37.971,72.37482,25.7522463112856,0.0390996277424937,61.6929489865685,1.43463385466569
"Congo, Dem. Rep.",COD,2007,YR2007,54.923,540,34.5,49.29,1.4,6.582,..,..,..,8.4,37.79087,15.1999998092651,..,38.47,..,26.5937769347831,0.0410154869290338,61.3960874263911,1.25407552761628
"Congo, Dem. Rep.",COD,2008,YR2008,55.339,550,34.5,49.7,1.3,6.578,..,..,..,8.4,38.38954596,11.4986276626587,..,38.976,73.29596,27.4584698176044,0.0410170493286043,61.0992258662138,0.808542543768538
"Congo, Dem. Rep.",COD,2009,YR2009,55.836,560,34.5,50.23,1.2,6.591,..,..,..,8.4,38.99355346,12.1150150299072,..,39.491,..,28.34971967976,0.0389402670897469,60.8023643060365,0.656239765021042
"Congo, Dem. Rep.",COD,2010,YR2010,56.417,590,34.2,82.1,1.2,6.587,..,..,..,8.4,39.60194826,12.7440509796143,..,40.013,74.21711,29.2853077788315,0.0399736368901706,60.5055027458592,0.851731339135211
"Congo, Dem. Rep.",COD,2011,YR2011,57.069,620,34.5,85.72,1.1,6.582,..,..,..,..,40.21581378,13.3884449005127,..,40.544,..,30.2835266094705,0.0439433708048075,60.0196837299574,0.924109080327308
"Congo, Dem. Rep.",COD,2012,YR2012,57.248,620,35.1,87.66,1.1,6.559,..,..,62.53,8.94308943089431,40.83420107,15.3999996185303,2.07,41.082,75.13825,31.3172933989105,0.0398223214302063,59.5338647140557,1.13455027573242
"Congo, Dem. Rep.",COD,2013,YR2013,57.762,670,35.1,92.78,1,6.527,..,..,..,8.94308943089431,41.45717361,14.7332000732422,..,41.627,..,32.4033528153327,0.0539000662686987,59.048045698154,1.1461779767659
"Congo, Dem. Rep.",COD,2014,YR2014,58.296,750,35.1,99.38,1,6.483,..,..,..,10.6425702811245,42.08531377,13.5,..,42.18,76.0594,33.5394402417238,0.0675486326218718,58.5622266822523,0.950247139541403
"Congo, Dem. Rep.",COD,2015,YR2015,58.49,810,35.5,100.02,0.9,6.437,..,..,..,8.94308943089431,42.71817997,16.1482429504395,..,42.74,..,34.6957076376789,0.0410822170168305,58.0764076663505,1.29563974884727
"Congo, Dem. Rep.",COD,2016,YR2016,59.066,910,36,100.59,0.9,6.392,..,..,..,8.94308943089431,43.35584023,17.0418376922607,..,43.307,76.98054,35.9193564323681,0.029732419887336,57.5905868860413,1.06610820875977
"Congo, Rep.",COG,2000,YR2000,53.682,2700,..,58.18,4.3,4.764,..,..,..,12,57.15587365,29.090015411377,..,58.695,87.80583,9.17724743777452,1.38741045873843,64.9926793557833,..
"Congo, Rep.",COG,2001,YR2001,54.395,2750,27,59.6,4.1,4.712,..,..,..,12,57.46332748,30.063591003418,..,59.156,..,9.52884626647145,1.30438483624202,64.9575402635432,1.94849387296783
"Congo, Rep.",COG,2002,YR2002,55.088,2910,26.4,60.3,4,4.719,..,..,..,..,57.9533587,31.0295829772949,..,59.617,87.80583,9.75448901903368,0.827309902442334,64.9224011713031,2.34120385766545
"Congo, Rep.",COG,2003,YR2003,55.948,2970,26.4,62.6,3.9,4.7,..,..,..,8.52713178294574,58.44132636,31.9903373718262,..,60.076,..,10.0282664714495,0.941876447044416,64.887262079063,2.68249827738951
"Congo, Rep.",COG,2004,YR2004,56.986,2840,31.7,65.87,3.7,4.687,..,..,..,8.52713178294574,59.50972199,32.9482078552246,..,60.533,84.68995,10.3748521229868,0.992178406395462,64.8521229868228,2.67387409398159
"Congo, Rep.",COG,2005,YR2005,58.126,3270,34,70.27,3.6,4.663,51.82475,..,66.87,8.52713178294574,60.57693709,33.7999992370605,23.5,60.988,..,10.755019033675,1.17463085095753,64.8169838945827,1.65789391721431
"Congo, Rep.",COG,2006,YR2006,58.878,3910,36.6,73.43,3.6,4.656,55.27637,..,..,8.52713178294574,61.64256697,34.86474609375,..,61.441,78.45821,11.16639238653,1.25325339605378,64.7818448023426,1.63711472814525
"Congo, Rep.",COG,2007,YR2007,59.643,3580,35.4,76.67,3.5,4.666,..,..,..,7.2992700729927,62.70681265,35.8284721374512,..,61.893,..,11.5851508052709,1.04936166835468,64.7467057101025,2.26049500505107
"Congo, Rep.",COG,2008,YR2008,60.426,3920,35.5,81.3,3.5,4.733,..,..,..,7.2992700729927,63.77039103,36.799430847168,..,62.346,72.22646,11.9754084919473,1.06648275308942,64.7115666178624,2.04130000658342
"Congo, Rep.",COG,2009,YR2009,61.088,4450,36,84.39,3.5,4.792,..,..,47.19,7.2992700729927,64.83275868,37.0999984741211,18.94,62.8,..,12.4662664714495,1.13678612619003,64.6764275256223,..
"Congo, Rep.",COG,2010,YR2010,61.683,4790,36.5,85,3.5,4.822,86.245,..,..,7.2992700729927,65.89391032,39.7886199951172,..,63.256,65.99471,12.9952679355783,1.22230549514138,64.6412884333821,1.77827615466212
"Congo, Rep.",COG,2011,YR2011,61.992,4680,35.9,88.59,3.5,4.791,..,..,..,7.2992700729927,66.95217738,40.7216911315918,..,63.712,..,13.4237657393851,1.17467632415227,64.606149341142,..
"Congo, Rep.",COG,2012,YR2012,62.317,5740,32.9,92.65,3.5,4.75,87.88284,..,43,7.35294117647059,68.00757085,41.5999984741211,..,64.169,59.76296,13.8016310395315,1.11635117711595,64.5710102489019,..
"Congo, Rep.",COG,2013,YR2013,62.695,5680,28.2,93.37,3.5,4.691,..,..,..,7.35294117647059,69.05953867,42.5439720153809,..,64.627,..,14.1378213762811,1.10398449399822,64.5358711566618,2.61779522037439
"Congo, Rep.",COG,2014,YR2014,62.95,5770,25.3,98.96,3.5,4.626,..,..,..,7.35294117647059,70.10704061,43.4321212768555,..,65.085,53.53121,14.4798272327965,1.05052497936747,64.5007320644217,5.0073706866691
"Congo, Rep.",COG,2015,YR2015,63.233,4420,25.2,102.38,3.5,4.564,..,..,..,7.35294117647059,71.14958177,44.4016494750977,..,65.543,..,14.8298272327965,1.11675926755978,64.4655929721816,..
"Congo, Rep.",COG,2016,YR2016,63.577,3550,26.4,98.67,3.6,4.487,..,..,..,7.35294117647059,72.18665483,45.5083274841309,..,66.001,47.29947,15.1883572474378,1.06005139175727,64.4304538799414,6.44878239015513
Costa Rica,CRI,2000,YR2000,77.586,7440,..,66.99,0.2,2.412,..,..,31.98,19.2982456140351,94.31973425,96.9400024414063,6.1,59.052,12.69593,77.9317077947513,1.2431415113567,55.9580885233059,..
Costa Rica,CRI,2001,YR2001,77.545,7730,4.7,67.64,0.2,2.325,..,..,41.65,19.2982456140351,94.78797066,98.2497787475586,7.18,60.41,..,79.3815511163337,1.33735581224024,55.9854680767724,..
Costa Rica,CRI,2002,YR2002,77.983,7980,5,65.31,0.2,2.2,..,..,41.2,35.0877192982456,95.23636182,98.5091857910156,7.51,61.753,11.78091,80.7407559733647,1.33972958478134,56.0128476302389,..
Costa Rica,CRI,2003,YR2003,78.072,8350,5.2,68.59,0.2,2.137,..,..,41.54,35.0877192982456,95.66513057,98.6958999633789,7.88,63.08,..,82.033098315707,1.38408684503928,56.0402271837054,..
Costa Rica,CRI,2004,YR2004,78.331,8860,5,69.9,0.2,2.078,..,..,39.88,35.0877192982456,96.07431902,98.9547805786133,7.02,64.388,10.86589,83.2902467685076,1.39754984951091,56.0676067371719,..
Costa Rica,CRI,2005,YR2005,78.505,9410,4.4,74.29,0.2,2.044,..,..,43.68,35.0877192982456,96.46388357,99.0530548095703,7.29,65.672,..,84.5257931844888,1.45365251685227,56.0949862906385,..
Costa Rica,CRI,2006,YR2006,78.514,10350,3.9,83.97,0.2,2.014,..,..,43.48,38.5964912280702,96.83456,99.1475219726563,6.72,66.935,9.95087,85.7456325891109,1.49763417243544,56.122365844105,..
Costa Rica,CRI,2007,YR2007,78.462,11380,3.8,82.05,0.3,2.012,..,..,44.5,36.8421052631579,97.18653818,99.2179946899414,5.29,68.174,..,86.9568938503721,1.71204222324274,56.1497453975715,..
Costa Rica,CRI,2008,YR2008,78.445,12060,3.9,80.96,0.3,2.021,..,..,44.58,36.8421052631579,97.52038348,99.2639389038086,6.01,69.39,9.03585,88.169232275754,1.66933182523638,56.177124951038,..
Costa Rica,CRI,2009,YR2009,78.672,11710,4.3,83.69,0.3,1.982,..,..,44.9,36.8421052631579,97.83609934,99.4098052978516,..,70.575,..,89.3679396788093,1.57749280263293,56.2045045045045,..
Costa Rica,CRI,2010,YR2010,78.67,12340,4.6,87.47,0.3,1.928,..,..,44.4,38.5964912280702,98.11229116,98.995735168457,9.1,71.736,8.12083,90.5258911084998,1.53721605831962,56.231884057971,..
Costa Rica,CRI,2011,YR2011,79.348,12970,5,90.56,0.3,1.902,98.39715,75.30508,46.2,38.5964912280702,98.37054238,99.2323455810547,11.05,72.868,..,91.6554249902076,1.58771741262576,56.5524089306698,..
Costa Rica,CRI,2012,YR2012,79.283,13740,5,93.33,0.3,1.876,98.48145,75.64349,51.17,38.5964912280702,98.64552909,99.5032958984375,10.08,73.946,7.20581,92.7652369761065,1.57212156501519,56.8729338033686,..
Costa Rica,CRI,2013,YR2013,79.403,14320,4.9,95.89,0.3,1.838,97.84257,76.95778,51,38.5964912280702,98.90447807,99.5635147094727,9.57,74.97,..,93.8412651782217,1.62334199791925,57.1934586760674,..
Costa Rica,CRI,2014,YR2014,78.774,15260,4.7,99.32,0.4,1.819,96.98747,77.99166,51.09,33.3333333333333,99.14848775,99.3592910766602,9.56,75.941,6.29079,94.8744222483353,1.61672881546266,57.5139835487662,..
Costa Rica,CRI,2015,YR2015,79.086,16210,4.1,98.93,0.4,1.79,97.60783,80.32835,49.81,33.3333333333333,99.37868682,99.4098052978516,8.97,76.862,..,95.8723462593028,1.53984215693524,57.8345084214649,..
Costa Rica,CRI,2016,YR2016,79.459,18110,3.6,101.75,0.4,1.754,98.18412,82.5849,45.77,33.3333333333333,99.59608945,99.5,9.28,77.735,5.37577,96.8508617312965,1.63398686202089,58.1551116333725,..
Cote d'Ivoire,CIV,2000,YR2000,50.842,1880,..,65.46,6.8,5.814,55.6689,..,..,..,71.39500207,48.6894683837891,..,43.155,67.07658,52.8291509433962,0.386281397194112,16.0202830188679,..
Cote d'Ivoire,CIV,2001,YR2001,50.81,1840,20.4,64.21,6.5,5.756,59.62325,..,..,8.52017937219731,71.38709009,49.6558570861816,..,43.568,..,54.2310314465409,0.376580096289645,15.6652924528302,..
Cote d'Ivoire,CIV,2002,YR2002,50.886,1810,21,65.55,6.1,5.705,59.60988,..,..,8.52017937219731,71.37765468,51.4000015258789,..,43.983,65.53594,55.6097389937107,0.386730368311917,15.3103018867925,..
Cote d'Ivoire,CIV,2003,YR2003,50.954,1750,20.6,66.28,5.8,5.642,56.0829,..,..,8.52017937219731,71.36634523,51.5682334899902,..,44.399,..,56.9699716981132,0.292965769068125,14.9553113207547,1.39160509170093
